AccSpeciesName,Urbanity,Hemeroby,Known Allelopath,Toxicity,Palatable Browse Animal,Palatable Human,Potential to cause bloat in livestock,Palatable Graze Animal,Physical defences on leaves,Physical defences on stems,Physical defences on flowers/fruits,Species potential allelopathy
Acer campestre,moderately urbanophobic,2_mesohemerobic_oligohemerobic,NA,none,NA,NA,NA,NA,soft hairs_soft hairs_subglabrous_soft hairs_soft hairs,NA,NA,NA
Acer negundo,moderately urbanophilic,2_b-euhemerobic_mesohemerobic,No,None_none,Low,No,NA,Low,NA,NA,NA,low allelopathic
Acer platanoides,urbanoneutral,4_b-euhemerobic_a-euhemerobic_mesohemerobic_oligohemerobic,No,None_none,Low,No,NA,Low,glabrous_glabrous,NA,NA,low allelopathic
Aesculus hippocastanum,moderately urbanophilic,3_b-euhemerobic_a-euhemerobic_mesohemerobic,NA,low,NA,NA,NA,NA,glabrous_glabrous,NA,spines,allelopathic
Prunus armeniaca,moderately urbanophilic,4_b-euhemerobic_a-euhemerobic_mesohemerobic_polyhemerobic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prunus avium,moderately urbanophobic,2_mesohemerobic_oligohemerobic,NA,low,NA,NA,NA,NA,glabrous_soft hairs,NA,NA,NA
Prunus cerasus,urbanoneutral,2_b-euhemerobic_mesohemerobic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ligustrum vulgare,moderately urbanophobic,3_b-euhemerobic_mesohemerobic_oligohemerobic,No,None,Low,No,NA,Low,NA,soft hairs_soft hairs,NA,NA
Lonicera tatarica,moderately urbanophilic,2_b-euhemerobic_mesohemerobic,No,None,Low,No,None,Low,NA,NA,NA,NA
Prunus serotina,moderately urbanophobic,2_b-euhemerobic_mesohemerobic,No,Severe_high,Low,Yes,Low,Low,NA,NA,NA,low allelopathic
Prunus persica,moderately urbanophilic,3_b-euhemerobic_a-euhemerobic_mesohemerobic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
