AccSpeciesName,C amount at 13C measurement (%),Leaf area: in case of compond leaves leaflet; petiole excluded (1) (cm2),Leaf area: in case of compound leaves leaflet; petiole excluded (cm2),Leaf area: in case of compound leaves leaflet; petiole excluded (m2),Leaf area: in case of compound leaves leaflet; petiole excluded (mm2),Leaf carbon content per dry mass (%),Leaf carbon content per dry mass ((mg g-1)),Leaf carbon content per dry mass (g C g-1 DW),Leaf carbon content per dry mass (g/100g),Leaf carbon content per dry mass (g/kg),Leaf carbon content per dry mass (mg g-1),Leaf carbon content per dry mass (mg/g dry mass),Leaf carbon content per dry mass (mg/g),Leaf carbon content per dry mass (mg/mg *100),Leaf carbon content per dry mass (percent),Leaf carbon/nitrogen (C/N) ratio (%/%),Leaf carbon/nitrogen (C/N) ratio (g/g),Leaf carbon/nitrogen (C/N) ratio (kg C per kg N),Leaf carbon/nitrogen (C/N) ratio (unitless),Leaf phenols content per dry mass (mg/g dry mass),Leaf senescent carbon content per dry mass (%),Leaf sugar content per dry mass (g g-1 DW)
Maackia amurensis,55.587827582,NA,NA,0.0020458,NA,50.0238284065,NA,NA,NA,456.43051362458476,NA,NA,NA,NA,NA,NA,11.384649116,NA,NA,NA,NA,NA
Acer negundo,NA,28.44,26.3766,NA,NA,44.7107314124627,NA,NA,NA,NA,NA,NA,472.56,NA,NA,14.1710247915544,39.5855123957772,NA,NA,NA,NA,NA
Lonicera involucrata,NA,22.522963636363635,32.338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Magnolia grandiflora,NA,41.43216666666667,44.887366666666665,NA,NA,47.00969696969697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.34813498592308,NA,NA,NA,40.43,NA
Populus alba,NA,19.0036,22.040733333333336,NA,NA,44.31,NA,NA,44.31,NA,NA,NA,NA,NA,NA,NA,41.252073951,NA,NA,NA,NA,0.1131325
Populus tremuloides,NA,11.573171472392637,13.031756190476191,NA,NA,48.93721016949153,NA,NA,NA,NA,NA,NA,NA,NA,49.77192473118279,NA,18.596543840070176,22.6,19.575583333333334,NA,NA,NA
Acer rubrum,NA,NA,49.092,NA,NA,48.7006447706422,NA,NA,NA,NA,NA,NA,NA,NA,49.77684375,NA,28.984679983578946,24.700000000000003,NA,NA,NA,NA
Acer saccharum,NA,NA,48.34516,NA,NA,47.797333333333334,NA,NA,NA,NA,NA,478.9790049751244,NA,NA,NA,NA,20.30339456436073,27.85,NA,1.300302939165321,NA,NA
Liriodendron tulipifera,NA,NA,112.8,NA,NA,47.51478125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.170848992941178,31.4,NA,NA,NA,NA
Lonicera hispidula var. vacillans,NA,NA,6.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ostrya virginiana,NA,NA,28.15878,NA,NA,46.83385,NA,NA,NA,NA,NA,468.77802325581393,NA,NA,NA,NA,16.320239703413794,NA,NA,0.3563427236465519,NA,NA
